query_id,theme_line,title_permutation,base_context,location,degree_filter,keywords,query_params_json,search_url,max_pages,enabled
Q011,Director / VP Policy Administration / Service Ops,VP Policy Administration Service Ops,insurance,New York City Metropolitan Area,2nd,insurance VP Policy Administration Service Ops New York City Metropolitan Area,"{""facetNetwork"": ""[\""S\""]"", ""keywords"": ""insurance VP Policy Administration Service Ops New York City Metropolitan Area"", ""origin"": ""GLOBAL_SEARCH_HEADER""}",https://www.linkedin.com/search/results/people/?facetNetwork=%5B%22S%22%5D&keywords=insurance+VP+Policy+Administration+Service+Ops+New+York+City+Metropolitan+Area&origin=GLOBAL_SEARCH_HEADER,120,true
Q012,Director / VP Policy Administration / Service Ops,VP Policy Administration Ops,insurance,New York City Metropolitan Area,2nd,insurance VP Policy Administration Ops New York City Metropolitan Area,"{""facetNetwork"": ""[\""S\""]"", ""keywords"": ""insurance VP Policy Administration Ops New York City Metropolitan Area"", ""origin"": ""GLOBAL_SEARCH_HEADER""}",https://www.linkedin.com/search/results/people/?facetNetwork=%5B%22S%22%5D&keywords=insurance+VP+Policy+Administration+Ops+New+York+City+Metropolitan+Area&origin=GLOBAL_SEARCH_HEADER,120,true
Q013,Director / VP Policy Administration / Service Ops,VP Policy Administration Operations,insurance,New York City Metropolitan Area,2nd,insurance VP Policy Administration Operations New York City Metropolitan Area,"{""facetNetwork"": ""[\""S\""]"", ""keywords"": ""insurance VP Policy Administration Operations New York City Metropolitan Area"", ""origin"": ""GLOBAL_SEARCH_HEADER""}",https://www.linkedin.com/search/results/people/?facetNetwork=%5B%22S%22%5D&keywords=insurance+VP+Policy+Administration+Operations+New+York+City+Metropolitan+Area&origin=GLOBAL_SEARCH_HEADER,120,true
Q014,Director / VP Policy Administration / Service Ops,Vice President Policy Administration,insurance,New York City Metropolitan Area,2nd,insurance Vice President Policy Administration New York City Metropolitan Area,"{""facetNetwork"": ""[\""S\""]"", ""keywords"": ""insurance Vice President Policy Administration New York City Metropolitan Area"", ""origin"": ""GLOBAL_SEARCH_HEADER""}",https://www.linkedin.com/search/results/people/?facetNetwork=%5B%22S%22%5D&keywords=insurance+Vice+President+Policy+Administration+New+York+City+Metropolitan+Area&origin=GLOBAL_SEARCH_HEADER,120,true
Q015,Director / VP Policy Administration / Service Ops,Vice President Service Ops,insurance,New York City Metropolitan Area,2nd,insurance Vice President Service Ops New York City Metropolitan Area,"{""facetNetwork"": ""[\""S\""]"", ""keywords"": ""insurance Vice President Service Ops New York City Metropolitan Area"", ""origin"": ""GLOBAL_SEARCH_HEADER""}",https://www.linkedin.com/search/results/people/?facetNetwork=%5B%22S%22%5D&keywords=insurance+Vice+President+Service+Ops+New+York+City+Metropolitan+Area&origin=GLOBAL_SEARCH_HEADER,120,true
Q016,Director / VP Policy Administration / Service Ops,Vice President Policy Administration Service Ops,insurance,New York City Metropolitan Area,2nd,insurance Vice President Policy Administration Service Ops New York City Metropolitan Area,"{""facetNetwork"": ""[\""S\""]"", ""keywords"": ""insurance Vice President Policy Administration Service Ops New York City Metropolitan Area"", ""origin"": ""GLOBAL_SEARCH_HEADER""}",https://www.linkedin.com/search/results/people/?facetNetwork=%5B%22S%22%5D&keywords=insurance+Vice+President+Policy+Administration+Service+Ops+New+York+City+Metropolitan+Area&origin=GLOBAL_SEARCH_HEADER,120,true
Q017,Director / VP Policy Administration / Service Ops,Vice President Policy Administration Ops,insurance,New York City Metropolitan Area,2nd,insurance Vice President Policy Administration Ops New York City Metropolitan Area,"{""facetNetwork"": ""[\""S\""]"", ""keywords"": ""insurance Vice President Policy Administration Ops New York City Metropolitan Area"", ""origin"": ""GLOBAL_SEARCH_HEADER""}",https://www.linkedin.com/search/results/people/?facetNetwork=%5B%22S%22%5D&keywords=insurance+Vice+President+Policy+Administration+Ops+New+York+City+Metropolitan+Area&origin=GLOBAL_SEARCH_HEADER,120,true
Q018,Director / VP Policy Administration / Service Ops,Vice President Policy Administration Operations,insurance,New York City Metropolitan Area,2nd,insurance Vice President Policy Administration Operations New York City Metropolitan Area,"{""facetNetwork"": ""[\""S\""]"", ""keywords"": ""insurance Vice President Policy Administration Operations New York City Metropolitan Area"", ""origin"": ""GLOBAL_SEARCH_HEADER""}",https://www.linkedin.com/search/results/people/?facetNetwork=%5B%22S%22%5D&keywords=insurance+Vice+President+Policy+Administration+Operations+New+York+City+Metropolitan+Area&origin=GLOBAL_SEARCH_HEADER,120,true
Q019,Director / VP Operations Excellence / Transformation (at insurers/TPAs),Director Operations Excellence,insurance,New York City Metropolitan Area,2nd,insurance Director Operations Excellence New York City Metropolitan Area,"{""facetNetwork"": ""[\""S\""]"", ""keywords"": ""insurance Director Operations Excellence New York City Metropolitan Area"", ""origin"": ""GLOBAL_SEARCH_HEADER""}",https://www.linkedin.com/search/results/people/?facetNetwork=%5B%22S%22%5D&keywords=insurance+Director+Operations+Excellence+New+York+City+Metropolitan+Area&origin=GLOBAL_SEARCH_HEADER,120,true
Q020,Director / VP Operations Excellence / Transformation (at insurers/TPAs),Director Transformation,insurance,New York City Metropolitan Area,2nd,insurance Director Transformation New York City Metropolitan Area,"{""facetNetwork"": ""[\""S\""]"", ""keywords"": ""insurance Director Transformation New York City Metropolitan Area"", ""origin"": ""GLOBAL_SEARCH_HEADER""}",https://www.linkedin.com/search/results/people/?facetNetwork=%5B%22S%22%5D&keywords=insurance+Director+Transformation+New+York+City+Metropolitan+Area&origin=GLOBAL_SEARCH_HEADER,120,true
Q021,Director / VP Operations Excellence / Transformation (at insurers/TPAs),Director Operations Excellence Transformation,insurance,New York City Metropolitan Area,2nd,insurance Director Operations Excellence Transformation New York City Metropolitan Area,"{""facetNetwork"": ""[\""S\""]"", ""keywords"": ""insurance Director Operations Excellence Transformation New York City Metropolitan Area"", ""origin"": ""GLOBAL_SEARCH_HEADER""}",https://www.linkedin.com/search/results/people/?facetNetwork=%5B%22S%22%5D&keywords=insurance+Director+Operations+Excellence+Transformation+New+York+City+Metropolitan+Area&origin=GLOBAL_SEARCH_HEADER,120,true
Q022,Director / VP Operations Excellence / Transformation (at insurers/TPAs),VP Operations Excellence,insurance,New York City Metropolitan Area,2nd,insurance VP Operations Excellence New York City Metropolitan Area,"{""facetNetwork"": ""[\""S\""]"", ""keywords"": ""insurance VP Operations Excellence New York City Metropolitan Area"", ""origin"": ""GLOBAL_SEARCH_HEADER""}",https://www.linkedin.com/search/results/people/?facetNetwork=%5B%22S%22%5D&keywords=insurance+VP+Operations+Excellence+New+York+City+Metropolitan+Area&origin=GLOBAL_SEARCH_HEADER,120,true
Q023,Director / VP Operations Excellence / Transformation (at insurers/TPAs),VP Transformation,insurance,New York City Metropolitan Area,2nd,insurance VP Transformation New York City Metropolitan Area,"{""facetNetwork"": ""[\""S\""]"", ""keywords"": ""insurance VP Transformation New York City Metropolitan Area"", ""origin"": ""GLOBAL_SEARCH_HEADER""}",https://www.linkedin.com/search/results/people/?facetNetwork=%5B%22S%22%5D&keywords=insurance+VP+Transformation+New+York+City+Metropolitan+Area&origin=GLOBAL_SEARCH_HEADER,120,true
Q024,Director / VP Operations Excellence / Transformation (at insurers/TPAs),VP Operations Excellence Transformation,insurance,New York City Metropolitan Area,2nd,insurance VP Operations Excellence Transformation New York City Metropolitan Area,"{""facetNetwork"": ""[\""S\""]"", ""keywords"": ""insurance VP Operations Excellence Transformation New York City Metropolitan Area"", ""origin"": ""GLOBAL_SEARCH_HEADER""}",https://www.linkedin.com/search/results/people/?facetNetwork=%5B%22S%22%5D&keywords=insurance+VP+Operations+Excellence+Transformation+New+York+City+Metropolitan+Area&origin=GLOBAL_SEARCH_HEADER,120,true
Q025,Director / VP Operations Excellence / Transformation (at insurers/TPAs),Vice President Operations Excellence,insurance,New York City Metropolitan Area,2nd,insurance Vice President Operations Excellence New York City Metropolitan Area,"{""facetNetwork"": ""[\""S\""]"", ""keywords"": ""insurance Vice President Operations Excellence New York City Metropolitan Area"", ""origin"": ""GLOBAL_SEARCH_HEADER""}",https://www.linkedin.com/search/results/people/?facetNetwork=%5B%22S%22%5D&keywords=insurance+Vice+President+Operations+Excellence+New+York+City+Metropolitan+Area&origin=GLOBAL_SEARCH_HEADER,120,true
Q026,Director / VP Operations Excellence / Transformation (at insurers/TPAs),Vice President Transformation,insurance,New York City Metropolitan Area,2nd,insurance Vice President Transformation New York City Metropolitan Area,"{""facetNetwork"": ""[\""S\""]"", ""keywords"": ""insurance Vice President Transformation New York City Metropolitan Area"", ""origin"": ""GLOBAL_SEARCH_HEADER""}",https://www.linkedin.com/search/results/people/?facetNetwork=%5B%22S%22%5D&keywords=insurance+Vice+President+Transformation+New+York+City+Metropolitan+Area&origin=GLOBAL_SEARCH_HEADER,120,true
Q027,Director / VP Operations Excellence / Transformation (at insurers/TPAs),Vice President Operations Excellence Transformation,insurance,New York City Metropolitan Area,2nd,insurance Vice President Operations Excellence Transformation New York City Metropolitan Area,"{""facetNetwork"": ""[\""S\""]"", ""keywords"": ""insurance Vice President Operations Excellence Transformation New York City Metropolitan Area"", ""origin"": ""GLOBAL_SEARCH_HEADER""}",https://www.linkedin.com/search/results/people/?facetNetwork=%5B%22S%22%5D&keywords=insurance+Vice+President+Operations+Excellence+Transformation+New+York+City+Metropolitan+Area&origin=GLOBAL_SEARCH_HEADER,120,true
Q028,Head of Regulatory / Reporting Ops in carriers,Head of Regulatory,insurance,New York City Metropolitan Area,2nd,insurance Head of Regulatory New York City Metropolitan Area,"{""facetNetwork"": ""[\""S\""]"", ""keywords"": ""insurance Head of Regulatory New York City Metropolitan Area"", ""origin"": ""GLOBAL_SEARCH_HEADER""}",https://www.linkedin.com/search/results/people/?facetNetwork=%5B%22S%22%5D&keywords=insurance+Head+of+Regulatory+New+York+City+Metropolitan+Area&origin=GLOBAL_SEARCH_HEADER,120,true
Q029,Head of Regulatory / Reporting Ops in carriers,Head of Reporting Ops,insurance,New York City Metropolitan Area,2nd,insurance Head of Reporting Ops New York City Metropolitan Area,"{""facetNetwork"": ""[\""S\""]"", ""keywords"": ""insurance Head of Reporting Ops New York City Metropolitan Area"", ""origin"": ""GLOBAL_SEARCH_HEADER""}",https://www.linkedin.com/search/results/people/?facetNetwork=%5B%22S%22%5D&keywords=insurance+Head+of+Reporting+Ops+New+York+City+Metropolitan+Area&origin=GLOBAL_SEARCH_HEADER,120,true
Q030,Head of Regulatory / Reporting Ops in carriers,Head of Regulatory Reporting Ops,insurance,New York City Metropolitan Area,2nd,insurance Head of Regulatory Reporting Ops New York City Metropolitan Area,"{""facetNetwork"": ""[\""S\""]"", ""keywords"": ""insurance Head of Regulatory Reporting Ops New York City Metropolitan Area"", ""origin"": ""GLOBAL_SEARCH_HEADER""}",https://www.linkedin.com/search/results/people/?facetNetwork=%5B%22S%22%5D&keywords=insurance+Head+of+Regulatory+Reporting+Ops+New+York+City+Metropolitan+Area&origin=GLOBAL_SEARCH_HEADER,120,true
Q031,Head of Regulatory / Reporting Ops in carriers,Head of Regulatory Ops,insurance,New York City Metropolitan Area,2nd,insurance Head of Regulatory Ops New York City Metropolitan Area,"{""facetNetwork"": ""[\""S\""]"", ""keywords"": ""insurance Head of Regulatory Ops New York City Metropolitan Area"", ""origin"": ""GLOBAL_SEARCH_HEADER""}",https://www.linkedin.com/search/results/people/?facetNetwork=%5B%22S%22%5D&keywords=insurance+Head+of+Regulatory+Ops+New+York+City+Metropolitan+Area&origin=GLOBAL_SEARCH_HEADER,120,true
Q032,Head of Regulatory / Reporting Ops in carriers,Head of Regulatory Operations,insurance,New York City Metropolitan Area,2nd,insurance Head of Regulatory Operations New York City Metropolitan Area,"{""facetNetwork"": ""[\""S\""]"", ""keywords"": ""insurance Head of Regulatory Operations New York City Metropolitan Area"", ""origin"": ""GLOBAL_SEARCH_HEADER""}",https://www.linkedin.com/search/results/people/?facetNetwork=%5B%22S%22%5D&keywords=insurance+Head+of+Regulatory+Operations+New+York+City+Metropolitan+Area&origin=GLOBAL_SEARCH_HEADER,120,true
